Eurasia Mining ,EUA,	25.00	6,231,903	0.00%	23.50	25.00	403
Europa Metals ,EUZ,	4.625	56,986	0.00%	4.625	4.625	3
Eve Sleep ,EVE,	3.45	533,992	2.99%	3.26	3.45	25
Evgen Pharma ,EVG,	5.25	192,052	-1.87%	5.25	5.35	9
Engage Xr ,EXR,	16.00	144,258	-1.54%	16.00	16.25	9
Eagle Eye ,EYE,	605.00	18,145	-2.81%	602.50	622.50	15
Fireangel ,FA.,	17.00	72,537	0.00%	17.00	17.00	6
Fusion Antibody ,FAB,	107.50	6,910	-2.27%	107.50	110.00	6
Faron Pharma ,FARN,	277.50	50,589	0.00%	270.00	277.50	15
Finncap Group ,FCAP,	33.70	45,830	0.00%	33.70	33.70	1
Fulcrum Utility ,FCRM,	13.125	307,995	1.94%	12.875	13.25	17
Feedback ,FDBK,	0.815	3,459,087	-2.98%	0.815	0.84	7
Frontier Dev ,FDEV,	1,350.00	245,565	1.96%	1,308.00	1,396.00	1,955
First Derivatives ,FDP,	1,800.00	151,816	-1.75%	1,800.00	1,910.00	970
Frenkel Topping ,FEN,	79.00	19,371	0.00%	79.00	79.00	3
Fevertree Drk ,FEVR,	2,597.00	259,328	-1.67%	2,595.00	2,661.00	1,330
Finsbury Food ,FIF,	98.00	248,275	-1.01%	98.00	99.00	34
Fih Group ,FIH,	230.00	20	0.00%	230.00	230.00	1
Frontier Ip ,FIPP,	98.50	65,895	0.00%	98.00	98.00	8
Flowtech Fluid. ,FLO,	137.50	29,227	1.46%	137.50	137.50	7
Filta Group ,FLTA,	143.50	529	0.00%	143.50	143.50	1
Falanx Group ,FLX,	1.05	239,551	0.00%	1.05	1.05	5
Fintel ,FNTL,	232.00	5,925	-0.85%	232.00	232.00	8
Fonix Mob. ,FNX,	156.50	48,759	0.00%	156.50	156.50	15
Falcon Oil ,FOG,	9.55	4,449,092	0.53%	9.20	9.55	79
Fox Marble Holdings ,FOX,	1.405	200,354	0.00%	1.405	1.405	2
First Property ,FPO,	33.00	83,421	0.00%	33.00	33.00	8
Franchise Brand ,FRAN,	161.50	27,044	0.00%	161.50	161.50	6
Fairpoint Group ,FRP,	131.75	16,805	0.19%	131.50	131.75	13
Filtronic ,FTC,	11.50	34,803	0.00%	11.50	11.50	2
Fulham Shore ,FUL,	17.50	220,284	-1.41%	17.50	18.00	18
Futura Medical ,FUM,	34.00	471,814	-5.00%	33.80	37.40	72
Forward Part ,FWD,	105.00	8,178	-0.94%	105.00	105.00	7
Gear4music ,G4M,	690.00	5,354	0.44%	674.00	690.00	14
Galantas Gold ,GAL,	32.00	24,985	0.00%	32.00	32.00	3
Gamma Coms ,GAMA,	1,624.00	185,455	2.14%	1,590.00	1,640.00	466
Gattaca ,GATC,	148.00	118,393	6.86%	148.00	148.00	48
Gb Group ,GBG,	677.00	254,306	-1.74%	675.50	691.00	699
